aValue,bValue,frequencykHz,Rs,Xc,Species,Type,Condition,Goat_Weight_kg,Meat_Yield_pct
138.6524376,26.87452998,50,168.4150873,25.53144206,Goat,Carcass,P,28.2,46.8
164.3186274,32.41294266,50,150.3287089,32.84945342,Goat,Carcass,H,39.8,44.9
168.5808337,31.49863045,50,140.3884812,32.1771972,Goat,Carcass,P,29.8,44.8
151.8311435,34.69696051,50,142.2237712,34.67342879,Goat,Carcass,H,31.2,49.8
143.381797,27.16473287,50,144.7821698,35.77983347,Goat,Carcass,P,35.3,42.5
148.5425915,29.06987831,50,147.0056731,36.4592318,Goat,Carcass,P,25,43.3
366.6736863,126.3246917,50,360.9607423,129.3177445,Goat,Carcass,H,32.3,53
172.6241933,38.01316339,50,177.8493241,40.04296241,Goat,Carcass,H,29.6,53.4
147.5715975,29.03827504,50,157.7933189,27.74033298,Goat,Carcass,H,36.6,51.5
149.1732981,33.89500612,50,161.1730316,29.25547766,Goat,Carcass,P,35.7,48.1
138.3814771,25.69662968,50,157.9644696,30.06829777,Goat,Carcass,H,33.9,48
150.1969461,23.93778436,50,145.3444418,29.94864132,Goat,Carcass,P,29.7,41.1
198.2432758,54.26610369,50,179.2541539,53.60453993,Goat,Carcass,P,37.3,44.3
174.9389898,38.15092682,50,176.8031559,34.64642004,Goat,Carcass,P,30.5,46.1
192.2936106,37.50280993,50,171.1403004,40.46025611,Goat,Carcass,P,34.4,40.7
146.9641967,30.99286124,50,132.2554261,31.37866482,Goat,Carcass,H,34.7,47.2
150.6932163,32.42629427,50,155.3351411,29.68729911,Goat,Carcass,H,39,47.7
195.9657448,51.99764295,50,191.9498043,50.82751922,Goat,Carcass,P,31.5,45.2
148.4756629,37.3527517,50,140.0412691,34.96591439,Goat,Carcass,H,28.4,49.6
163.0527074,42.60632435,50,165.8878423,40.66566727,Goat,Carcass,P,37.3,42.8
148.7208591,27.2609993,50,151.8891926,29.4641936,Goat,Carcass,P,37.3,44.6
155.1749857,28.07420065,50,170.2952413,26.9528292,Goat,Carcass,H,28.2,47.2
136.4464839,24.95752256,50,143.2048244,26.58445621,Goat,Carcass,P,25,43.4
132.1776308,29.35086178,50,126.4838146,32.44610557,Goat,Carcass,H,35.8,46.5
199.3348907,38.07231356,50,171.2031587,40.61206753,Goat,Carcass,P,25,44.1
155.1184303,28.17341693,50,155.6954437,25.51912041,Goat,Carcass,H,25,47.8
144.9324586,30.08188537,50,139.0244312,30.23714397,Goat,Carcass,H,28.8,50.5
195.7373665,41.5048785,50,216.5245596,41.83091136,Goat,Carcass,P,32.3,44.8
139.564798,29.90817004,50,134.7886601,28.22978774,Goat,Carcass,H,25,48.7
166.6694973,35.67633013,50,142.3227534,35.84018064,Goat,Carcass,H,31.2,52.7
171.0133835,36.48063277,50,169.3083535,40.03948272,Goat,Carcass,P,31.9,45.1
149.2956589,36.29727086,50,132.7916113,38.86422707,Goat,Carcass,H,27.2,48.3
1483.138041,331.85224,50,1482.068177,333.7439647,Goat,Carcass,H,83.7,59
134.4228289,24.9568081,50,130.2440747,32.50296186,Goat,Carcass,H,31.5,46.7
191.2572625,53.12024954,50,185.8664405,50.35600786,Goat,Carcass,P,36.8,44.3
198.8009919,38.38885098,50,191.5711873,38.98710414,Goat,Carcass,P,25,45.2
134.037628,32.90335405,50,160.1845071,34.1450763,Goat,Carcass,H,25,45.5
120.9141951,26.86202964,50,141.6833045,27.6070367,Goat,Carcass,H,31.6,46.5
137.3749045,31.88375862,50,150.397293,28.77627416,Goat,Carcass,P,39,43.2
127.5683921,34.55456199,50,140.6809816,32.39763986,Goat,Carcass,H,25,47
1480.099803,330.3399711,50,1457.037627,331.3421674,Goat,Carcass,H,73.9,60
158.4609825,36.94830168,50,145.4873998,37.58395125,Goat,Carcass,H,25,49.5
170.0828984,35.09292223,50,137.2437134,35.57823625,Goat,Carcass,P,26.5,43.8
152.6173044,33.98864281,50,174.7444803,32.95239906,Goat,Carcass,P,31.3,45.6
162.6262771,35.16649235,50,176.667426,38.63196914,Goat,Carcass,P,28.1,43.3
148.4172153,33.01777665,50,146.0294039,27.33865009,Goat,Carcass,H,25,49.1
154.8267682,31.36852388,50,159.3859665,31.60691381,Goat,Carcass,P,25,42.3
152.685534,25.65809244,50,132.0842975,25.88819148,Goat,Carcass,P,25,44.7
144.2100599,25.48027168,50,148.7504928,21.77599548,Goat,Carcass,P,32.3,44.5
147.2758464,31.23729773,50,169.3857693,33.07804639,Goat,Carcass,P,33.1,42
15.08418816,0.474479996,50,20.3480223,0,Goat,Carcass,P,28.6,42.9
180.7332507,52.69036187,50,187.2080413,53.15465824,Goat,Carcass,P,26.3,44.4
155.9952929,30.10509184,50,132.9662865,27.92597527,Goat,Carcass,P,34.9,44.7
151.184939,27.67763161,50,170.1587244,31.44492014,Goat,Carcass,H,33.8,50.1
149.1281629,30.25329729,50,148.2811033,30.91620844,Goat,Carcass,P,29.9,42.8
167.9314294,25.58193689,50,144.9799991,27.18118877,Goat,Carcass,H,29.5,50.8
141.5804519,34.83202378,50,127.5191851,30.21361921,Goat,Carcass,H,26.2,50.1
134.8254237,27.7250738,50,114.8954331,29.18750079,Goat,Carcass,H,30.1,47.5
145.9897502,28.14186715,50,145.648618,26.88009738,Goat,Carcass,P,37.9,42
153.6578674,31.81047827,50,160.1268153,33.3294828,Goat,Carcass,P,35.8,43
78.18226218,37.99721558,50,73.83816404,35.14649281,Goat,Carcass,H,26,45.5
138.6915686,31.211944,50,163.9706897,30.48588144,Goat,Carcass,H,32.6,49.8
127.1557306,36.39846955,50,142.8083276,35.68139129,Goat,Carcass,H,25,51.5
191.4319396,44.56003955,50,215.8968528,41.82926673,Goat,Carcass,P,35.3,47.7
141.770387,36.50185755,50,148.33602,30.43173754,Goat,Carcass,P,25.6,42.1
155.1008259,27.74611359,50,182.2379533,28.94231205,Goat,Carcass,H,34,51.2
168.7117274,37.56756522,50,172.2096594,40.69921428,Goat,Carcass,P,45.4,44.6
174.1208635,37.91105467,50,168.7339366,41.31964764,Goat,Carcass,P,27.8,40
163.3272951,33.8225452,50,139.4725448,34.67710841,Goat,Carcass,H,44.6,48.5
167.345496,42.48067015,50,168.8362391,41.80386463,Goat,Carcass,P,32.9,43.5
156.5653275,28.67746141,50,131.3615615,32.79275677,Goat,Carcass,P,26,46.5
152.4230855,29.08700725,50,165.0215293,27.05183753,Goat,Carcass,H,26.3,47.7
160.8926514,27.05673232,50,143.4560175,25.18995956,Goat,Carcass,H,41.9,50.4
143.2548118,35.11814894,50,154.6583674,32.96565787,Goat,Carcass,P,32.3,44.1
175.522248,39.09588304,50,165.1393018,42.0419933,Goat,Carcass,P,27.7,41.4
138.6197587,27.38105164,50,126.088817,29.66867374,Goat,Carcass,H,28.3,47.9
125.2813981,28.44884052,50,149.2011776,29.88293067,Goat,Carcass,P,31.6,47.3
1479.456255,330.5525965,50,1498.634065,324.9633518,Goat,Carcass,H,73.8,60
158.4386573,32.44081148,50,144.9422235,35.98192213,Goat,Carcass,P,31.7,46
133.9052961,30.02516761,50,138.4580928,30.79835744,Goat,Carcass,H,38.3,50.8
134.1665487,33.89284249,50,141.5759204,28.32544895,Goat,Carcass,P,25,43.3
151.739894,34.91843948,50,142.0771549,32.7219046,Goat,Carcass,P,33.1,41.6
159.5685407,37.39338112,50,157.6660376,36.4033465,Goat,Carcass,P,29.8,42
147.3867588,34.91178342,50,153.4530042,33.90727617,Goat,Carcass,H,27.4,52.2
165.2241561,35.52437331,50,159.9936827,38.3777499,Goat,Carcass,P,35.7,44.6
168.4308151,27.3155331,50,175.0727135,30.02399944,Goat,Carcass,P,25,41
202.5447248,43.55640222,50,209.2669791,38.49486773,Goat,Carcass,P,25,46.5
145.5011115,33.4075309,50,145.6396412,32.65961607,Goat,Carcass,P,30.9,40.6
127.8389834,21.61432875,50,122.2384583,21.15021478,Goat,Carcass,H,28.5,47.4
153.256694,29.21923694,50,142.774916,31.5446829,Goat,Carcass,H,25,49.3
169.9423486,36.80271586,50,164.2068424,40.32698744,Goat,Carcass,H,25,54.4
169.5664498,33.78517663,50,144.1899346,32.04550571,Goat,Carcass,P,39.9,45.8
161.6607315,35.5263381,50,144.2449596,30.40200354,Goat,Carcass,P,32.4,43.2
143.0103484,28.14195453,50,121.9321135,24.90007572,Goat,Carcass,H,29.5,49.1
150.8058414,38.2679778,50,170.0054447,33.91976446,Goat,Carcass,P,41.2,46.3
150.4375218,34.62691788,50,169.6483288,34.9815135,Goat,Carcass,H,35.3,52.3
142.4953187,31.19369247,50,166.16115,29.94555309,Goat,Carcass,P,38.9,43.9
139.0013877,22.77101895,50,148.4345306,26.55293698,Goat,Carcass,P,25,43.8
113.8781536,27.02839074,50,127.1497463,29.53546536,Goat,Carcass,H,25,47.4
134.5152861,27.03106665,50,136.1510115,29.62204382,Goat,Carcass,H,32.5,50.5
178.7204719,35.74644668,50,169.2600872,36.33887435,Goat,Carcass,P,32.8,46.5
127.9126828,26.71599476,50,124.0781099,31.29833072,Goat,Carcass,H,35.4,45.1
185.5823374,50.23062944,50,200.4788854,54.48906145,Goat,Carcass,P,25,43.8
132.2159795,26.98402756,50,118.6840799,29.69517639,Goat,Carcass,H,32.6,46.5
174.5973805,41.09795329,50,165.3301049,39.62442124,Goat,Carcass,P,35.5,44.6
171.4821753,27.61653758,50,152.2270948,27.21071265,Goat,Carcass,P,35.1,41.8
195.8899777,37.1158487,50,168.5451292,33.65763391,Goat,Carcass,P,29.1,41.8
152.2509517,27.56667582,50,157.6195587,25.3779071,Goat,Carcass,P,32.7,46.6
184.8494618,35.17067738,50,203.535155,42.02782165,Goat,Carcass,P,27.5,44.4
108.1297791,26.84647217,50,132.0002469,30.0177772,Goat,Carcass,H,27.4,49
197.7461453,44.5678527,50,190.4659519,45.10943924,Goat,Carcass,P,26.1,45.4
181.6609684,37.99752093,50,191.1053882,40.84443718,Goat,Carcass,P,27.3,46.5
159.7393256,28.26819041,50,157.8842687,27.90792695,Goat,Carcass,H,29.1,48.5
172.7212,43.77271561,50,176.9850964,39.75204717,Goat,Carcass,P,28.3,43.7
141.5557875,25.18984005,50,169.8563661,25.48811559,Goat,Carcass,P,26.3,43.7
162.9346703,31.00511453,50,153.8688423,32.75098824,Goat,Carcass,P,25,46.4
155.6109814,32.89661082,50,158.618466,36.86353166,Goat,Carcass,H,39.9,49.2
1109.372747,358.8725986,50,1103.76341,355.3375207,Goat,Carcass,H,57.7,55.6
180.3764143,40.80167918,50,201.4635793,41.85272037,Goat,Carcass,P,32.9,45.5
147.8213457,36.11096582,50,172.7986257,37.46469396,Goat,Carcass,P,25,48.1
184.0115241,43.22305905,50,196.8712514,41.4408614,Goat,Carcass,P,38,44.8
151.4483064,32.57423259,50,154.2042841,29.0045029,Goat,Carcass,P,30.9,43.8
163.1351681,30.91611744,50,155.6083835,35.13314543,Goat,Carcass,H,28,53.2
80.33633711,36.45956268,50,92.04453057,38.60773816,Goat,Carcass,H,25.4,51.3
148.0807991,31.17787217,50,140.9039361,28.96566995,Goat,Carcass,H,34.1,51.5
143.8782983,27.51467302,50,147.8243439,29.55743622,Goat,Carcass,P,25,43.2
136.8450191,23.96123615,50,158.1762165,29.81981161,Goat,Carcass,P,25.7,43.1
179.0999725,39.87329382,50,179.7257785,42.5745045,Goat,Carcass,P,30.3,40.8
163.5607364,36.47728629,50,163.6353984,37.5102856,Goat,Carcass,P,29.7,46.3
210.8335332,43.84654046,50,188.4532625,43.15329052,Goat,Carcass,P,44.1,44.7
184.5743348,51.4207316,50,175.1377291,51.05513292,Goat,Carcass,P,29.1,40.7
197.6011004,37.84580103,50,197.4892015,38.79542106,Goat,Carcass,P,36.5,47.1
150.7379042,26.33734567,50,150.1227445,26.7225855,Goat,Carcass,H,39.1,48.6
158.5559406,24.50347935,50,144.1635994,26.61687491,Goat,Carcass,P,33.4,43.8
138.9487711,27.38342364,50,132.8122477,25.85684889,Goat,Carcass,H,26.1,46.1
156.3932312,35.4187171,50,158.4029914,34.61212366,Goat,Carcass,P,25,45.3
147.5818639,33.3113609,50,144.4749172,32.71425213,Goat,Carcass,P,33.5,45.2
209.283283,47.72872927,50,215.3089298,42.15028575,Goat,Carcass,P,40.2,44.7
152.5757438,31.78095072,50,148.3883593,29.73810511,Goat,Carcass,P,32.7,43.4
144.3328456,27.97199284,50,144.4145027,30.78867029,Goat,Carcass,P,35.9,49.5
123.4279142,27.7236643,50,128.0688243,29.89139009,Goat,Carcass,H,42.1,46.6
73.89110209,57.90197508,50,98.09340558,54.98580933,Goat,Carcass,P,31.6,42.1
150.7703818,31.55080263,50,127.413695,31.75791838,Goat,Carcass,P,25,45.4
176.1980886,40.03492397,50,157.8898412,33.61818203,Goat,Carcass,P,30.8,42.3
138.6411707,33.31639528,50,132.1901827,29.46252514,Goat,Carcass,H,36.3,46.9
132.7830253,23.85713079,50,138.295826,22.33093684,Goat,Carcass,H,28.3,51.5
166.931963,34.41511987,50,149.0823404,33.27865591,Goat,Carcass,P,37.8,45.4
203.3967761,40.40775958,50,184.8733655,44.25678164,Goat,Carcass,P,31.1,45.5
165.2503938,35.80997603,50,161.9500273,38.83656669,Goat,Carcass,P,32,44.7
14.78476819,0.856459918,50,29.97646489,4.346492415,Goat,Carcass,P,25,41.9
170.3481488,41.13065955,50,162.4074447,35.04921173,Goat,Carcass,P,31.3,43.8
170.3981212,33.43633769,50,153.8601652,30.63084936,Goat,Carcass,P,31.5,44.1
164.7535618,32.54491868,50,143.9996234,30.48876701,Goat,Carcass,P,25,45.9
163.8795922,36.46720828,50,171.0888248,38.15250831,Goat,Carcass,P,28.3,45.3
154.4395746,36.99625883,50,154.6828444,40.8626581,Goat,Carcass,P,25,42.4
149.9656218,28.26221545,50,163.1932928,31.24292449,Goat,Carcass,H,28.1,51
226.9349788,42.51349065,50,209.9064454,44.43774985,Goat,Carcass,P,28.3,41.4
233.6811125,46.2534233,50,212.0427636,42.89051929,Goat,Carcass,P,37.5,44.1
154.158518,34.21706313,50,183.6521396,32.9033021,Goat,Carcass,P,35.6,42.3
212.0693202,46.7796468,50,211.7663358,46.03523878,Goat,Carcass,P,34.8,43
224.9912832,46.35700403,50,214.6135438,48.72584075,Goat,Carcass,P,25.9,48.6
153.6440863,39.36182317,50,157.1395339,36.54211368,Goat,Carcass,P,29.6,41.3
135.8220203,35.22985857,50,150.4134662,33.03969904,Goat,Carcass,H,25,47.6
157.5991528,29.16967191,50,159.9322542,29.1749089,Goat,Carcass,P,29.5,45.4
133.952198,27.21136745,50,131.9688573,30.95161203,Goat,Carcass,H,32.6,48.1
195.9474606,49.57206544,50,195.4388867,52.49084597,Goat,Carcass,P,36.3,44.8
176.3234265,39.47730641,50,168.8165131,38.27569509,Goat,Carcass,P,33,47.2
151.4627907,28.60055027,50,136.2610802,25.48300095,Goat,Carcass,P,36.1,45.5
157.4377444,30.86163021,50,153.6351082,35.26175111,Goat,Carcass,H,31.4,48.3
205.9292068,39.77307663,50,199.3172396,38.09453505,Goat,Carcass,P,30.6,44.4
146.6054306,27.17224158,50,115.2419546,33.89762605,Goat,Carcass,H,33.7,49.9
156.9696325,36.07041158,50,196.1084457,35.45283308,Goat,Carcass,P,35.3,45.9
138.5002537,30.44084787,50,130.7723687,29.60886809,Goat,Carcass,H,26.8,49.1
150.3502664,30.5023873,50,156.4727859,36.31288611,Goat,Carcass,P,31.9,45
143.4975928,30.61887894,50,172.8318819,33.00081365,Goat,Carcass,P,28.7,45.2
178.9920406,38.06256475,50,186.546056,35.86695634,Goat,Carcass,P,25,44.4
356.5726103,125.8206905,50,358.3245466,130.0148436,Goat,Carcass,H,38.4,49.3
198.3951952,40.90376084,50,176.4018028,40.15946162,Goat,Carcass,P,25,45.9
146.3940563,29.76163467,50,143.2304109,27.48583316,Goat,Carcass,H,31.4,49.8
148.3142134,26.69243512,50,146.2932642,26.51514606,Goat,Carcass,P,25,40.1
137.0334603,35.95993182,50,145.7215839,36.91764222,Goat,Carcass,H,26,47.5
351.638777,87.27901299,50,358.1339796,84.61510221,Goat,Carcass,P,34.4,44.9
161.286144,28.30078449,50,146.0633813,35.79387127,Goat,Carcass,H,36.1,48.8
147.5199099,29.13719504,50,142.2077979,30.42879038,Goat,Carcass,H,27.1,51.6
191.7188354,42.84751084,50,159.1545011,39.11050704,Goat,Carcass,P,25.5,50.7
214.4151032,48.10425188,50,220.7202427,44.71097638,Goat,Carcass,P,34,40
134.8611218,38.43161081,50,143.6556483,41.22891201,Goat,Carcass,H,28.4,49.7
146.7036888,31.20291387,50,169.2451675,25.0992339,Goat,Carcass,P,34.2,44.6
212.4874968,40.29433367,50,210.0767238,45.85540244,Goat,Carcass,P,26.9,44.4
136.8112638,33.22195261,50,125.3304063,29.43052097,Goat,Carcass,H,30.4,50.1
178.8765048,42.93305687,50,189.4796987,38.61249279,Goat,Carcass,P,43.4,44.9
190.928231,44.4055283,50,186.6375369,40.05070482,Goat,Carcass,P,30,43.8
168.341133,40.9213947,50,170.4590911,40.7543093,Goat,Carcass,P,31.4,44.4
214.8238828,40.11643472,50,189.27585,37.9428565,Goat,Carcass,P,25,45.7
197.2523993,39.34479986,50,165.0758791,40.61772841,Goat,Carcass,P,26.8,45.2
187.2475537,51.87375589,50,179.2210807,55.1151599,Goat,Carcass,P,33.2,44.7
185.0520632,38.2580805,50,190.6968263,39.40600743,Goat,Carcass,P,29.5,43.4
162.9882246,42.0654323,50,192.1875363,36.54082925,Goat,Carcass,P,33.8,50.3
160.9406133,33.22443942,50,167.8139246,34.98473498,Goat,Carcass,P,32.5,45.1
216.2374303,42.71111985,50,221.3425381,43.32077144,Goat,Carcass,P,25.6,46.4
163.3694712,33.86641351,50,161.3890648,28.16172621,Goat,Carcass,P,35.5,43.4
187.521164,38.51000988,50,197.7366634,40.36177319,Goat,Carcass,P,25.1,45
189.2898609,50.43196377,50,187.6452129,51.74357359,Goat,Carcass,P,27.3,44.8
112.9734212,27.89957211,50,137.0034064,34.11843157,Goat,Carcass,H,30.1,45.3
85.33139663,53.79926904,50,99.38175865,52.99114768,Goat,Carcass,P,35.5,42.1
145.1019074,28.24778527,50,161.4354438,27.257927,Goat,Carcass,H,25,47.9
147.5690873,32.5582701,50,160.6752559,35.7459086,Goat,Carcass,P,30.7,43.1
149.0052896,32.02019201,50,153.255352,33.0058343,Goat,Carcass,H,30.7,47.1
141.0330684,35.3370339,50,139.9243214,37.55318435,Goat,Carcass,H,32.8,49.2
191.9694776,46.87679195,50,208.7821341,44.41361337,Goat,Carcass,P,37.4,47.5
135.9512631,30.95679888,50,150.4733916,30.48157951,Goat,Carcass,P,27.7,44.5
172.8415074,29.51065837,50,162.9805342,26.49765748,Goat,Carcass,P,35.7,42.1
133.7938063,27.3344693,50,122.92346,22.10767998,Goat,Carcass,P,36,42
148.7493329,42.71377525,50,160.3132519,36.34099554,Goat,Carcass,P,38.9,43.6
169.842792,31.50965311,50,150.1845522,31.12344253,Goat,Carcass,P,32.8,41.4
185.7997568,30.77316651,50,141.9315901,33.42960027,Goat,Carcass,H,31.3,49.8
180.9822398,39.91541376,50,199.8907683,40.2608899,Goat,Carcass,P,28.8,47.4
187.2225557,40.7690119,50,183.5683141,41.53824405,Goat,Carcass,P,25,43.4
169.5036272,33.39447279,50,162.3376759,30.58973073,Goat,Carcass,H,29.1,49.5
154.7327292,34.06847015,50,155.9641998,30.20319939,Goat,Carcass,H,30.7,48.5
174.8769635,42.51823108,50,195.3599792,39.27334244,Goat,Carcass,P,30.5,43.4
151.4839755,37.86865562,50,159.892899,36.08837889,Goat,Carcass,H,33.1,49.7
147.9738159,28.01169194,50,143.9058852,31.50393605,Goat,Carcass,H,25,47.9
134.4597672,29.1593818,50,128.3107662,29.76272458,Goat,Carcass,H,28.4,47.4
126.1414457,25.04562372,50,150.5089577,30.90412568,Goat,Carcass,H,39.4,46
156.6272635,26.46001192,50,166.228373,28.20002716,Goat,Carcass,H,35.3,49.6
114.8965186,26.56916658,50,121.3113623,25.58994517,Goat,Carcass,H,31.9,51.1
163.5568483,37.24514667,50,151.638209,34.99424761,Goat,Carcass,P,32.1,45.7
125.2674358,29.14992006,50,133.8144387,25.65377332,Goat,Carcass,H,27.4,52.1
192.381565,41.18311963,50,189.4269127,36.15405531,Goat,Carcass,P,25,43.3
169.3035341,38.26510554,50,160.3424199,37.0576463,Goat,Carcass,H,32.7,51
146.8369736,34.65665485,50,146.3962966,38.14072017,Goat,Carcass,H,25,47
226.3882917,45.75016914,50,213.2404074,45.63088275,Goat,Carcass,P,30.6,46.2
165.5943715,24.41325797,50,169.4433871,27.97868137,Goat,Carcass,H,30.6,52.8
153.6082661,25.2322419,50,154.5312266,30.99582549,Goat,Carcass,H,27.8,50.3
143.5452598,38.76263337,50,136.7606267,40.35828143,Goat,Carcass,H,40.4,52.4
1593.000866,292.2076618,50,1599.491514,293.001015,Goat,Carcass,H,87,60
137.5983626,39.07643301,50,139.8926526,34.21171547,Goat,Carcass,H,34.7,48.9
99.24655214,55.63772315,50,91.55963941,52.78476421,Goat,Carcass,P,25,41.7
136.0020482,29.52610528,50,131.5401341,35.48263095,Goat,Carcass,H,38.9,49.1
199.4714163,41.40486367,50,189.6011655,37.23720758,Goat,Carcass,P,34.6,45.1
165.1392459,30.42653293,50,146.1219803,33.54723844,Goat,Carcass,P,25.4,44.2
154.9579579,25.60704824,50,165.078073,32.75568296,Goat,Carcass,H,30.4,48.4
126.17267,28.29346035,50,152.2944041,22.37033607,Goat,Carcass,H,34.4,48.4
155.5890448,35.87938138,50,159.4224609,37.97627628,Goat,Carcass,P,27.1,45
157.2185713,35.95264536,50,115.037386,38.43603888,Goat,Carcass,H,30.2,48.5
167.6952434,41.70105983,50,175.7142371,36.36377697,Goat,Carcass,P,32.2,42.2
182.9252413,36.36865874,50,174.4921642,38.46156026,Goat,Carcass,P,25.4,40.6
172.1042905,42.91118353,50,181.1149432,40.59430038,Goat,Carcass,P,29.4,43.3
173.5135292,32.6324881,50,157.9611223,34.21804969,Goat,Carcass,P,25.4,41.5
155.6613778,31.16154408,50,146.7449756,28.28105072,Goat,Carcass,P,34.4,42.6
141.6093634,33.71022755,50,166.3061822,31.83201444,Goat,Carcass,H,25.5,48.6
127.1631671,28.90279024,50,133.6403172,27.18019368,Goat,Carcass,H,30.7,48.8
137.7051728,27.75128554,50,148.1667347,32.83392974,Goat,Carcass,H,25,47.9
200.5381968,42.17800029,50,205.0695482,41.10981738,Goat,Carcass,H,26,54.1
161.0029504,37.20673567,50,160.8280124,30.83746832,Goat,Carcass,P,25,41.8
176.9384324,44.21426838,50,173.9958436,42.87199168,Goat,Carcass,P,29.3,46.8
131.4152527,29.14307017,50,139.7607988,27.54302269,Goat,Carcass,H,30.4,48.9
189.5649641,36.86425535,50,196.4156576,38.07605761,Goat,Carcass,P,33.2,43.3
26.0943508,2.806629623,50,21.22477315,1.735317703,Goat,Carcass,H,25,49.4
131.6715907,37.7770679,50,155.3172235,32.49805134,Goat,Carcass,P,28.8,43.4
202.5704244,42.24375297,50,206.7972043,40.7528262,Goat,Carcass,P,28,43.1
151.8106388,35.47899121,50,155.9908954,33.20405031,Goat,Carcass,P,32.7,47.9
152.0362633,27.23811235,50,145.0614124,26.70994016,Goat,Carcass,P,28.6,40
1589.184954,293.8998407,50,1581.358157,293.2816929,Goat,Carcass,H,77.2,60
159.9798033,41.47448465,50,169.7295353,34.72931081,Goat,Carcass,P,26.7,44.8
146.36453,27.94558972,50,140.5275373,29.78977199,Goat,Carcass,P,38.4,47
170.7189075,30.17609457,50,159.7927041,31.58093417,Goat,Carcass,H,25,48.5
122.2658726,28.07345369,50,150.9141791,31.59476063,Goat,Carcass,H,27.4,54.6
139.8610222,30.35198841,50,118.0901115,29.13418556,Goat,Carcass,H,29.8,50.5
174.630036,42.83573604,50,171.8726303,41.30848532,Goat,Carcass,P,29.4,40
141.3709438,40.5987051,50,138.3291636,36.98149525,Goat,Carcass,H,25.7,46.2
145.1995201,41.29312005,50,164.1519472,37.92393073,Goat,Carcass,H,25,49.8
356.5691972,129.3203768,50,354.582815,126.7122681,Goat,Carcass,H,32.7,48.2
160.3356685,26.25938625,50,142.5919463,24.21274728,Goat,Carcass,P,25.3,45.3
555.9767928,73.21518281,50,535.5162422,69.75938102,Goat,Carcass,H,51.9,51.9
168.7698007,31.69701219,50,155.958634,28.38222058,Goat,Carcass,H,41.8,46.9
164.07772,28.6618842,50,150.3444211,34.39241943,Goat,Carcass,H,29.9,47.3
167.5040873,32.54008148,50,156.2910201,35.89279497,Goat,Carcass,P,25,46
157.8890269,32.17072993,50,137.3379983,29.29486743,Goat,Carcass,H,33.6,45.1
163.503128,33.57810935,50,170.560351,33.35376906,Goat,Carcass,P,25.6,46.5
